route_id,city,road_name,highway,start_lat,start_lng,end_lat,end_lng,length_m,sinuosity,max_heading_change_deg,sv_coverage,status,geometry_wkt
SR_00000,"Kochi, Kerala, India",Kalavath Road,tertiary,10.0039033,76.3090592,10.002842100000002,76.3095084,127.31,1.0003,3.04,,candidate_no_sv_check,"LINESTRING (76.3090592 10.0039033, 76.3092482 10.0034228, 76.3094628 10.002952599999999, 76.3095084 10.002842100000002)"
SR_00001,"Kochi, Kerala, India",Kalavath Road,tertiary,10.002842100000002,76.3095084,10.0039033,76.3090592,127.31,1.0003,3.04,,candidate_no_sv_check,"LINESTRING (76.3095084 10.002842100000002, 76.3094628 10.002952599999999, 76.3092482 10.0034228, 76.3090592 10.0039033)"
SR_00002,"Kochi, Kerala, India",Shanmugham Road,primary,9.977107199999999,76.2772786,9.978675699999998,76.2765153,192.59,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2772786 9.977107199999999, 76.2765153 9.978675699999998)"
SR_00003,"Kochi, Kerala, India",Shanmugham Road,primary,9.978675699999998,76.2765153,9.979550600000001,76.2760703,108.36,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2765153 9.978675699999998, 76.2760703 9.979550600000001)"
SR_00004,"Kochi, Kerala, India",Hospital Road,tertiary,9.971348899999999,76.28014,9.9717209,76.2821892,228.42,1.0001,2.59,,candidate_no_sv_check,"LINESTRING (76.28014 9.971348899999999, 76.28014490000001 9.9713499, 76.2805759 9.971440400000002, 76.281084 9.971523500000002, 76.2814941 9.9715989, 76.2821892 9.9717209)"
SR_00005,"Kochi, Kerala, India",Park Avenue,primary,9.971348899999999,76.28014,9.973235099999997,76.2795199,219.61,1.001,5.37,,candidate_no_sv_check,"LINESTRING (76.28014 9.971348899999999, 76.2801383 9.971355100000002, 76.2799205 9.9719948, 76.2797974 9.9723931, 76.279711 9.972729700000002, 76.2796476 9.972931699999997, 76.2795199 9.973235099999997)"
SR_00006,"Kochi, Kerala, India",Hospital Road,tertiary,9.9717209,76.2821892,9.971348899999999,76.28014,228.42,1.0001,2.59,,candidate_no_sv_check,"LINESTRING (76.2821892 9.9717209, 76.2814941 9.9715989, 76.281084 9.971523500000002, 76.2805759 9.971440400000002, 76.28014490000001 9.9713499, 76.28014 9.971348899999999)"
SR_00007,"Kochi, Kerala, India",Cannon Shed Road,tertiary,9.973235099999997,76.2795199,9.973721799999996,76.2809837,169.31,1.0002,2.55,,candidate_no_sv_check,"LINESTRING (76.2795199 9.973235099999997, 76.2802675 9.9734657, 76.2809837 9.973721799999996)"
SR_00008,"Kochi, Kerala, India",Boat Jetty Road,tertiary,9.973235099999997,76.2795199,9.972861200000002,76.2786354,105.43,1.0001,1.41,,candidate_no_sv_check,"LINESTRING (76.2795199 9.973235099999997, 76.2793214 9.9731455, 76.2791524 9.973071799999998, 76.2786354 9.972861200000002)"
SR_00009,"Kochi, Kerala, India",Park Avenue,primary,9.973235099999997,76.2795199,9.974952,76.2786257,213.7,1.0001,1.22,,candidate_no_sv_check,"LINESTRING (76.2795199 9.973235099999997, 76.2793948 9.973474199999997, 76.2790992 9.974025999999999, 76.27890120000002 9.974401399999998, 76.2786257 9.974952)"
SR_00010,"Kochi, Kerala, India",Park Avenue,primary,9.973235099999997,76.2795199,9.971348899999999,76.28014,219.61,1.001,5.37,,candidate_no_sv_check,"LINESTRING (76.2795199 9.973235099999997, 76.2796476 9.972931699999997, 76.279711 9.972729700000002, 76.2797974 9.9723931, 76.2799205 9.9719948, 76.2801383 9.971355100000002, 76.28014 9.971348899999999)"
SR_00011,"Kochi, Kerala, India",TD Road,tertiary,9.971811399999998,76.2828325,9.969916799999998,76.2830887,211.4,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2828325 9.971811399999998, 76.2830887 9.969916799999998)"
SR_00012,"Kochi, Kerala, India",TD Road,tertiary,9.971811399999998,76.2828325,9.9736637,76.282631,207.09,1.0051,7.86,,candidate_no_sv_check,"LINESTRING (76.2828325 9.971811399999998, 76.2828377 9.972261999999999, 76.2828404 9.9724925, 76.2828373 9.972564999999998, 76.28283330000001 9.9726624, 76.2827482 9.9731316, 76.282631 9.9736637)"
SR_00013,"Kochi, Kerala, India",TD Road,tertiary,9.969916799999998,76.2830887,9.971811399999998,76.2828325,211.4,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2830887 9.969916799999998, 76.2828325 9.971811399999998)"
SR_00014,"Kochi, Kerala, India",Club Road,tertiary,9.969916799999998,76.2830887,9.9700446,76.2838112,80.46,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2830887 9.969916799999998, 76.2838112 9.9700446)"
SR_00015,"Kochi, Kerala, India",Thottekkat Road,unclassified,9.971855699999999,76.2833144,9.970341999999999,76.2837572,174.33,1.0002,2.41,,candidate_no_sv_check,"LINESTRING (76.2833144 9.971855699999999, 76.2836038 9.9709226, 76.2837572 9.970341999999999)"
SR_00016,"Kochi, Kerala, India",TD Road,tertiary,9.9736637,76.282631,9.971811399999998,76.2828325,207.09,1.0051,7.86,,candidate_no_sv_check,"LINESTRING (76.282631 9.9736637, 76.2827482 9.9731316, 76.28283330000001 9.9726624, 76.2828373 9.972564999999998, 76.2828404 9.9724925, 76.2828377 9.972261999999999, 76.2828325 9.971811399999998)"
